countyID,LKType,LKName,probText
9376,LK,Schwandorf,100.0
8326,LK,Schwarzwald-Baar-Kreis,100.0
9678,LK,Schweinfurt,100.0
9662,SK,Schweinfurt,99.9
13004,SK,Schwerin,100.0
1060,LK,Segeberg,100.0
5970,LK,Siegen-Wittgenstein,100.0
8437,LK,Sigmaringen,100.0
5974,LK,Soest,100.0
5122,SK,Solingen,100.0
16068,LK,Sömmerda,99.9
16072,LK,Sonneberg,100.0
7318,SK,Speyer,99.7
12071,LK,Spree-Neiße,99.9
3359,LK,Stade,100.0
10041,LK,Stadtverband Saarbrücken,100.0
9188,LK,Starnberg,100.0
1061,LK,Steinburg,100.0
5566,LK,Steinfurt,100.0
15090,LK,Stendal,100.0
1062,LK,Stormarn,100.0
9263,SK,Straubing,100.0
9278,LK,Straubing-Bogen,100.0
8111,SK,Stuttgart,100.0
7337,LK,Südliche Weinstraße,100.0
7340,LK,Südwestpfalz,100.0
16054,SK,Suhl,99.7
12072,LK,Teltow-Fläming,100.0
9377,LK,Tirschenreuth,100.0
9189,LK,Traunstein,100.0
7211,SK,Trier,100.0
7235,LK,Trier-Saarburg,100.0
8416,LK,Tübingen,100.0
8327,LK,Tuttlingen,99.8
12073,LK,Uckermark,99.1
3360,LK,Uelzen,100.0
8421,SK,Ulm,100.0
5978,LK,Unna,100.0
16064,LK,Unstrut-Hainich-Kreis,99.6
9778,LK,Unterallgäu,100.0
3460,LK,Vechta,100.0
3361,LK,Verden,99.9
5166,LK,Viersen,100.0
6535,LK,Vogelsbergkreis,100.0
14523,LK,Vogtlandkreis,100.0
13075,LK,Vorpommern/Greifswald,-65.5
13073,LK,Vorpommern/Rügen,-64.2
7233,LK,Vulkaneifel,100.0
6635,LK,Waldeck-Frankenberg,100.0
8337,LK,Waldshut,100.0
5570,LK,Warendorf,100.0
16063,LK,Wartburgkreis,100.0
9363,SK,Weiden i.d.OPf.,100.0
9190,LK,Weilheim-Schongau,100.0
16055,SK,Weimar,100.0
16071,LK,Weimarer Land,99.9
9577,LK,Weißenburg-Gunzenhausen,100.0
6636,LK,Werra-Meißner-Kreis,99.9
5170,LK,Wesel,100.0
3461,LK,Wesermarsch,99.7
7143,LK,Westerwaldkreis,100.0
6440,LK,Wetteraukreis,100.0
6414,SK,Wiesbaden,100.0
3405,SK,Wilhelmshaven,62.5
15091,LK,Wittenberg,100.0
3462,LK,Wittmund,89.4
3158,LK,Wolfenbüttel,99.9
3103,SK,Wolfsburg,100.0
7319,SK,Worms,100.0
9479,LK,Wunsiedel i.Fichtelgebirge,100.0
5124,SK,Wuppertal,100.0
9663,SK,Würzburg,100.0
9679,LK,Würzburg,100.0
8417,LK,Zollernalbkreis,99.7
7320,SK,Zweibrücken,99.9
14524,LK,Zwickau,100.0
